"","Species","min_long","max_long","mid_long","min_lat","max_lat","mid_lat"
"1","Acroteriobatus annulatus",14,32,21,-36.5,-22,-32.5
"2","Acroteriobatus blochii",11.5,18.5,15.5,-34.5,-16.5,-27.75
"3","Acroteriobatus leucospilus",28.5,50.5,40.75,-32.5,-4.5,-18.5
"4","Acroteriobatus ocellatus",20,35.5,27.5,-35.5,-24.5,-33.5
"5","Acroteriobatus omanensis",53.5,60.5,58,16,26,20
"6","Acroteriobatus salalah",53.5,68,60,16,25.5,22.5
"7","Acroteriobatus variegatus",69.5,83,75.5,5,22.5,10.5
"8","Acroteriobatus zanzibarens",39,39.5,39.25,-6.5,-5.5,-6
"9","Aculeola nigra",-81,-70,-75.5,-31.5,-6,-15.5
"10","Aetobatus flagellum",32.5,135.5,76.75,-6.5,36,19
"11","Aetobatus narinari",-180,180,94.5,-35,35,3
"12","Aetobatus ocellatus",-180,180,112,-35,31.5,-3
"13","Aetomylaeus asperrimus",-91.5,-78,-85,-1.5,11,8.5
"14","Aetomylaeus bovinus",-19,41.5,11.5,-36.5,46,30
"15","Aetomylaeus caeruleofasciatus",116,154.5,138.75,-26,-7.5,-14
"16","Aetomylaeus maculatus",77.5,122,106,-7.5,28.5,9.5
"17","Aetomylaeus milvus",47.5,73,58,16,30.5,24.5
"18","Aetomylaeus nichofii",34,141,120,-25.5,41,7
"19","Aetomylaeus vespertilio",32.5,170,112,-27,30,3.5
"20","Alopias pelagicus",-180,180,68.5,-37.5,37,-1.5
"21","Alopias superciliosus",-180,180,-5.5,-42,54.5,2
"22","Alopias vulpinus",-180,180,-28.5,-58,66.5,-4.5
"23","Amblyraja doellojuradoi",-76,-53,-63,-57,-34,-49.5
"24","Amblyraja hyperborea",-180,180,-28.5,-74,82,53
"25","Amblyraja radiata",-78,38.5,-19.5,36.5,79.5,61.5
"26","Anacanthobatis americana",32.5,71.5,50,10.5,30.5,22
"27","Anacanthobatis folirostris",-55,-44,-50,-1.5,7.5,3.5
"28","Anacanthobatis longirostris",-87.5,-53.5,-73.75,7,21,11.5
"29","Anacanthobatis marmorata",31,35.5,33,-30.5,-24,-26.5
"30","Anoxypristis cuspidata",41.5,159.5,119,-28.5,41,2.5
"31","Apristurus albisoma",161,170,168,-27.5,-22,-24.5
"32","Apristurus ampliceps",113.5,178.5,169,-49,-33.5,-43.5
"33","Apristurus aphyodes",-29.5,-2,-10.5,45.5,66,62
"34","Apristurus australis",111.5,155,149,-45.5,-14.5,-31
"35","Apristurus breviventralis",51.5,55.5,53.5,11,13.5,12.5
"36","Apristurus brunneus",-152.5,-77.5,-118,-5,60,31.25
"37","Apristurus bucephalus",114.5,115.5,115,-32.5,-31.5,-32
"38","Apristurus canutus",-80,-61,-63,11.5,25.5,17
"39","Apristurus exsanguis",-180,180,171,-55,-32.5,-44.5
"40","Apristurus fedorovi",141.5,146.5,143.75,37,43,41
"41","Apristurus garricki",-180,180,174,-45.5,-24,-40.5
"42","Apristurus gibbosus",112.5,126.5,122.5,18.5,28,24.5
"43","Apristurus herklotsi",114.5,139.5,127,7,35,26.25
"44","Apristurus indicus",43.5,55.5,49.5,1.5,16,11.5
"45","Apristurus investigatoris",93,95,94,6.5,14,12
"46","Apristurus japonicus",123.5,142,136.5,23,37,32.5
"47","Apristurus kampae",-125.5,-91,-115.5,-2,42.5,29
"48","Apristurus laurussonii",-36.5,-1.5,-14.5,27.5,73,62.5
"49","Apristurus longicephalus",33.5,168.5,124,-27,38.5,16.5
"50","Apristurus macrorhynchus",116.5,141,122,19.5,35.5,26.5
"51","Apristurus macrostomus",92,148,101,-9.5,33.5,2.5
"52","Apristurus manis",-71.5,14.5,-12.5,-29.5,58,40
"53","Apristurus melanoasper",-76,180,129,-52.5,64.5,-32.5
"54","Apristurus microps",-71,25.5,14.5,-37,58.5,-29.5
"55","Apristurus nakayai",157.5,158,157.75,-21.5,-21,-21.25
"56","Apristurus nasutus",-82,-70,-77,-39,9,-13.5
"57","Apristurus parvipinnis",-96,-48.5,-81.5,4,29.5,12
"58","Apristurus pinguis",94.5,178.5,142.5,-45,29.5,-32.5
"59","Apristurus platyrhynchus",113,168.5,140.5,-36,36,5.5
"60","Apristurus profundorum",-74.5,-16.5,-48,13.5,62.5,48
"61","Apristurus riveri",-97.5,-62,-81,9,29.5,19.5
"62","Apristurus saldanha",11,22.5,14.5,-37,-17.5,-29
"63","Apristurus sinensis",110.5,153,116.5,-45,22.5,11.5
"64","Apristurus spongiceps",-171,123,-160,-7,26.5,22
"65","Apristurus stenseni",-82,-78.5,-80.75,6.5,7.5,7
"66","Apristurus yangi",147.5,150.5,149,-6,-2.5,-4.25
"67","Aptychotrema rostrata",146.5,154.5,152,-37,-18.5,-24.5
"68","Aptychotrema timorensis",130,130.5,130,-11.5,-10.5,-11
"69","Aptychotrema vincentiana",112,147.5,124.5,-39.5,-18.5,-33.5
"70","Arhynchobatis asperrimus",165.5,179.5,172,-47,-33,-40.5
"71","Asymbolus analis",148,154.5,152.25,-38.5,-26.5,-33.25
"72","Asymbolus funebris",114.5,115.5,115,-35.5,-34,-34.5
"73","Asymbolus galacticus",166.5,168,167.25,-27.5,-25.5,-26.5
"74","Asymbolus occiduus",113.5,133,124,-36.5,-31.5,-34
"75","Asymbolus pallidus",146.5,157,152,-24,-15,-19
"76","Asymbolus parvus",111.5,124,117.5,-27,-14.5,-19.5
"77","Asymbolus rubiginosus",146,155,150.5,-45,-26.5,-37
"78","Asymbolus submaculatus",114,129.5,120.5,-36,-31,-34
"79","Asymbolus vincenti",113.5,149,134.5,-43.5,-31.5,-35.5
"80","Atelomycterus baliensis",115,115,115,-9,-8.5,-8.75
"81","Atelomycterus fasciatus",114,121,117.5,-22.5,-18,-20
"82","Atelomycterus macleayi",118.5,131.5,125.5,-20.5,-9.5,-14
"83","Atelomycterus marmoratus",61,148.5,108.5,-10.5,26,8.5
"84","Atelomycterus marnkalha",132.5,154,141.5,-24,-9,-14.5
"85","Atlantoraja castelnaui",-65.5,-42,-56.5,-44.5,-22.5,-36.5
"86","Atlantoraja cyclophora",-65,-42.5,-55,-43,-23,-35.5
"87","Atlantoraja platana",-65.5,-41,-57,-46.5,-22,-38.5
"88","Aulohalaelurus kanakorum",165,167,166,-23.5,-21.5,-22.5
"89","Aulohalaelurus labiosus",113,123.5,115.5,-36,-28,-34
"90","Bathyraja abyssicola",-180,180,-127,31,60,51.5
"91","Bathyraja albomaculata",-76.5,-53.5,-64,-57.5,-25.5,-48.5
"92","Bathyraja aleutica",-180,180,143.5,35.5,62.5,53.5
"93","Bathyraja andriashevi",141,154.5,149,35,52,48.5
"94","Bathyraja bergi",129.5,152,141.5,36,51,44.5
"95","Bathyraja brachyurops",-76,-53,-63.5,-57,-30,-46.5
"96","Bathyraja cousseauae",-70,-54,-59,-57.5,-36.5,-48.5
"97","Bathyraja diplotaenia",140.5,146,142.5,36,46.5,42
"98","Bathyraja eatonii",-61,168,34.25,-76.5,-47,-62
