"","Species","Family","Order","Superorder","habitat","vertical","terrestriality","thermo","feeding","diet","max.length","type of length"
"1","Acroteriobatus annulatus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","140","TL"
"2","Acroteriobatus blochii","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","96","TL"
"3","Acroteriobatus leucospilus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","120","TL"
"4","Acroteriobatus ocellatus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","81","TL"
"5","Acroteriobatus salalah","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","78","TL"
"6","Acroteriobatus variegatus","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","75","TL"
"7","Acroteriobatus zanzibarens","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","75","TL"
"8","Aculeola nigra","Etmopteridae","Squaliformes","Selachii","all","benthopelagic","no","ecto","macropredator","inverts/fish","67","TL"
"9","Aetobatus flagellum","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","inverts","90","DW"
"10","Aetobatus narinari","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","inverts/fish","230","DW"
"11","Aetomylaeus asperrimus","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts","79","DW"
"12","Aetomylaeus bovinus","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","inverts","222","DW"
"13","Aetomylaeus maculatus","Myliobatidae","Myliobatiformes","Batoidea","shelf","pelagic","brackish","ecto","macropredator","inverts","100","DW"
"14","Aetomylaeus nichofii","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","no","ecto","macropredator","inverts/fish","72","DW"
"15","Aetomylaeus vespertilio","Myliobatidae","Myliobatiformes","Batoidea","shelf","benthopelagic","brackish","ecto","macropredator","NA","300","DW"
"16","Alopias pelagicus","Alopiidae","Lamniformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","428","TL"
"17","Alopias superciliosus","Alopiidae","Lamniformes","Selachii","all","pelagic","no","ecto","macropredator","inverts/fish","484","TL"
"18","Alopias vulpinus","Alopiidae","Lamniformes","Selachii","all","pelagic","no","meso","macropredator","inverts/fish","635","TL"
"19","Amblyraja doellojuradoi","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","69","TL"
"20","Amblyraja hyperborea","Rajidae","Rajiformes","Batoidea","all","benthic","no","ecto","macropredator","inverts/fish","112","TL"
"21","Amblyraja radiata","Rajidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","111","TL"
"22","Anacanthobatis americana","Anacanthobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","38","DW"
"23","Anacanthobatis folirostris","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","62","TL"
"24","Anacanthobatis longirostris","Anacanthobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","75","TL"
"25","Anacanthobatis marmorata","Anacanthobatidae","Rajiformes","Batoidea","slope","benthopelagic","no","ecto","macropredator","inverts/fish","29","TL"
"26","Anoxypristis cuspidata","Pristidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","470","TL"
"27","Apristurus albisoma","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts","60","TL"
"28","Apristurus ampliceps","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","90","TL"
"29","Apristurus aphyodes","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","55","TL"
"30","Apristurus australis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","83","TL"
"31","Apristurus brunneus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthopelagic","no","ecto","macropredator","inverts/fish","69","TL"
"32","Apristurus bucephalus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","68","TL"
"33","Apristurus canutus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","46","TL"
"34","Apristurus exsanguis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","91","TL"
"35","Apristurus fedorovi","Scyliorhinidae","Carcharhiniformes","Selachii","slope/offshore","benthic","no","ecto","macropredator","inverts/fish","68","TL"
"36","Apristurus gibbosus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","57","TL"
"37","Apristurus herklotsi","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","52","TL"
"38","Apristurus indicus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","34","TL"
"39","Apristurus investigatoris","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","26","TL"
"40","Apristurus japonicus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","71","TL"
"41","Apristurus kampae","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","65","TL"
"42","Apristurus laurussonii","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","76","TL"
"43","Apristurus longicephalus","Scyliorhinidae","Carcharhiniformes","Selachii","slope/offshore","benthic","no","ecto","macropredator","inverts/fish","60","TL"
"44","Apristurus macrorhynchus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","67","TL"
"45","Apristurus macrostomus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","57","TL"
"46","Apristurus manis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","88","TL"
"47","Apristurus melanoasper","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","79","TL"
"48","Apristurus microps","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthopelagic","no","ecto","macropredator","inverts/fish","73","TL"
"49","Apristurus nasutus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts","59","TL"
"50","Apristurus parvipinnis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","59","TL"
"51","Apristurus pinguis","Scyliorhinidae","Carcharhiniformes","Selachii","slope/offshore","benthic","no","ecto","macropredator","inverts/fish","84","TL"
"52","Apristurus platyrhynchus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","80","TL"
"53","Apristurus profundorum","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","76","TL"
"54","Apristurus riveri","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","48","TL"
"55","Apristurus saldanha","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","51","TL"
"56","Apristurus sinensis","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","82","TL"
"57","Apristurus spongiceps","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","51","TL"
"58","Apristurus stenseni","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","46","TL"
"59","Aptychotrema rostrata","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","brackish","ecto","macropredator","inverts/fish","120","TL"
"60","Aptychotrema timorensis","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","NA","58","TL"
"61","Aptychotrema vincentiana","Rhinobatidae","Rhinopristiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","84","TL"
"62","Arhynchobatis asperrimus","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","75","TL"
"63","Asymbolus analis","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","61","TL"
"64","Asymbolus funebris","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","44","TL"
"65","Asymbolus galacticus","Scyliorhinidae","Carcharhiniformes","Selachii","slope","benthic","no","ecto","macropredator","inverts/fish","48","TL"
"66","Asymbolus occiduus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","60","TL"
"67","Asymbolus pallidus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","47","TL"
"68","Asymbolus parvus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","40","TL"
"69","Asymbolus rubiginosus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","53","TL"
"70","Asymbolus submaculatus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","44","TL"
"71","Asymbolus vincenti","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","61","TL"
"72","Atelomycterus baliensis","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","52","TL"
"73","Atelomycterus fasciatus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","45","TL"
"74","Atelomycterus macleayi","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","60","TL"
"75","Atelomycterus marmoratus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","70","TL"
"76","Atelomycterus marnkalha","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","49","TL"
"77","Atlantoraja castelnaui","Arhynchobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","147","TL"
"78","Atlantoraja cyclophora","Arhynchobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","74","TL"
"79","Atlantoraja platana","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","91","TL"
"80","Aulohalaelurus kanakorum","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","79","TL"
"81","Aulohalaelurus labiosus","Scyliorhinidae","Carcharhiniformes","Selachii","shelf","benthic","no","ecto","macropredator","inverts/fish","67","TL"
"82","Bathyraja abyssicola","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","157","TL"
"83","Bathyraja albomaculata","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","100","TL"
"84","Bathyraja aleutica","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","154","TL"
"85","Bathyraja andriashevi","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","120","TL"
"86","Bathyraja bergi","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","102","TL"
"87","Bathyraja brachyurops","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","125","TL"
"88","Bathyraja cousseauae","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","122","TL"
"89","Bathyraja diplotaenia","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","88","TL"
"90","Bathyraja eatonii","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","126","TL"
"91","Bathyraja fedorovi","Arhynchobatidae","Rajiformes","Batoidea","slope/offshore","benthic","no","ecto","macropredator","NA","150","TL"
"92","Bathyraja griseocauda","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","157","TL"
"93","Bathyraja hesperafricana","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","87","TL"
"94","Bathyraja interrupta","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","87","TL"
"95","Bathyraja irrasa","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","120","TL"
"96","Bathyraja ishiharai","Arhynchobatidae","Rajiformes","Batoidea","offshore","benthic","no","ecto","macropredator","NA","123","TL"
"97","Bathyraja isotrachys","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","93","TL"
"98","Bathyraja leucomelanos","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","90","TL"
"99","Bathyraja lindbergi","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","102","TL"
"100","Bathyraja maccaini","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","120","TL"
"101","Bathyraja macloviana","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts","71","TL"
"102","Bathyraja maculata","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","134","TL"
"103","Bathyraja magellanica","Arhynchobatidae","Rajiformes","Batoidea","shelf","benthic","no","ecto","macropredator","inverts/fish","105","TL"
"104","Bathyraja mariposa","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","76","TL"
"105","Bathyraja matsubarai","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","inverts/fish","126","TL"
"106","Bathyraja meridionalis","Arhynchobatidae","Rajiformes","Batoidea","slope","benthic","no","ecto","macropredator","NA","150","TL"
"107","Bathyraja minispinosa","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","90","TL"
"108","Bathyraja multispinis","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","inverts/fish","126","TL"
"109","Bathyraja murrayi","Arhynchobatidae","Rajiformes","Batoidea","shelf/slope","benthic","no","ecto","macropredator","NA","60","TL"
