"","Species","FUSE","FUn","FSp","Order","Superorder","iucn","ext_prob100","iucn_status","ED2","EDGE2","iucn_cat2"
"1","Acroteriobatus annulatus",0.0328595356400183,0.000157876900041423,0.33389057595828,"Rhinopristiformes","Batoidea","2",0.1,"VU",32.5322679633036,3.25322679633036,"AT"
"2","Acroteriobatus blochii",7.21675223928332e-05,2.98496804566573e-05,0.0412374804910342,"Rhinopristiformes","Batoidea","0",0.001748844,"LC",32.3341206376252,0.0565473328723871,"NoT"
"3","Acroteriobatus leucospilus",0.0272394734561455,2.25946296265184e-06,0.0410701727084115,"Rhinopristiformes","Batoidea","3",0.67232,"EN",34.2458514433827,23.0241708424151,"AT"
"4","Acroteriobatus ocellatus",0.0233880614871108,1.02428146539791e-05,0.236626584212773,"Rhinopristiformes","Batoidea","2",0.1,"VU",32.8309018031645,32.7988403920378,"AT"
"5","Acroteriobatus salalah",0.00059474659880896,1.7244705579141e-05,0.0421849727405713,"Rhinopristiformes","Batoidea","1",0.014096969,"NT",31.9395890677868,0.45025139696133,"NoT"
"6","Acroteriobatus variegatus",0.213124611998531,6.91443444996459e-05,0.237685489097145,"Rhinopristiformes","Batoidea","4",0.999023438,"CR",33.1781736500478,33.1457731064318,"AT"
"7","Acroteriobatus zanzibarens",0.000598535897655506,1.57012449581429e-05,0.0424554798676519,"Rhinopristiformes","Batoidea","1",0.014096969,"NT",33.562554654035,0.473130292518737,"NoT"
"8","Aculeola nigra",0.00231003850969511,0.0003242332986467,0.163732178726363,"Squaliformes","Selachii","1",0.014096969,"NT",28.229703952,0.397953261490522,"NoT"
"9","Aetobatus flagellum",0.397108549297108,0.200984967275095,0.461747808289866,"Myliobatiformes","Batoidea","3",0.67232,"EN",91.7293337033224,61.6714656354177,"AT"
"10","Aetobatus narinari",0.254220177799211,0.000820412015123917,0.429475305534944,"Myliobatiformes","Batoidea","3",0.67232,"EN",91.7293337033224,61.6714656354177,"AT"
"11","Aetomylaeus asperrimus",0.0234192901470016,5.26754680815805e-06,0.236951358486659,"Myliobatiformes","Batoidea","2",0.1,"VU",53.8639989566198,5.38639989566198,"AT"
"12","Aetomylaeus bovinus",0.584575831308769,0.204871770685327,0.489871530870701,"Myliobatiformes","Batoidea","4",0.999023438,"CR",19.0378520741986,19.0192604313013,"AT"
"13","Aetomylaeus maculatus",0.646042111541094,0.490305776098929,0.646943413570653,"Myliobatiformes","Batoidea","3",0.67232,"EN",39.7692779794994,26.7376809711771,"AT"
"14","Aetomylaeus nichofii",0.0159704650517206,0.00123422909860621,0.159732801625348,"Myliobatiformes","Batoidea","2",0.1,"VU",47.7462849775538,4.77462849775538,"AT"
"15","Aetomylaeus vespertilio",0.261705951661925,0.00144484759023791,0.443068346675566,"Myliobatiformes","Batoidea","3",0.67232,"EN",56.624138678141,38.0695409160878,"AT"
"16","Alopias pelagicus",0.25052195796243,0.0296249166008824,0.38613704662369,"Lamniformes","Selachii","3",0.67232,"EN",41.9004553298949,28.1705141273949,"AT"
"17","Alopias superciliosus",0.0419836699393023,0.035010784460358,0.392389911275613,"Lamniformes","Selachii","2",0.1,"VU",93.5224211087689,9.35224211087689,"AT"
"18","Alopias vulpinus",0.105085698147242,0.456941916331657,0.622663960110737,"Lamniformes","Selachii","2",0.1,"VU",40.3796475587762,4.03796475587762,"AT"
"19","Amblyraja doellojuradoi",4.71961777751611e-06,1.71214907902702e-06,0.00269700134432368,"Rajiformes","Batoidea","0",0.001748844,"LC",5.70866966314615,0.00998357268837517,"NoT"
"20","Amblyraja hyperborea",2.01448238917771e-08,9.2792252015358e-06,2.2397119926604e-06,"Rajiformes","Batoidea","0",0.001748844,"LC",5.7086696332785,0.00998357263614131,"NoT"
"21","Amblyraja radiata",1.10829149482518e-06,5.33428465879331e-06,5.74863336382424e-06,"Rajiformes","Batoidea","2",0.1,"VU",13.8167516762208,1.38167516762208,"AT"
"22","Anacanthobatis americana",2.48520478956219e-05,6.35771787691825e-05,0.0141471551445721,"Rajiformes","Batoidea","0",0.001748844,"LC",17.8943314904734,0.0312943942611255,"NoT"
"23","Anacanthobatis folirostris",0.000543685897736835,5.47132730018602e-05,0.310912799938937,"Rajiformes","Batoidea","0",0.001748844,"LC",17.5183184669046,0.0306368061409353,"NoT"
"24","Anacanthobatis longirostris",0.000346984567525191,5.80329952863171e-06,0.19843657927513,"Rajiformes","Batoidea","0",0.001748844,"LC",17.5799932016464,0.03074466563074,"NoT"
"25","Anacanthobatis marmorata",0.00378179927951364,6.52959156947738e-05,0.268712752663466,"Rajiformes","Batoidea","1",0.014096969,"NT",17.9822841571626,0.253495702312713,"NoT"
"26","Anoxypristis cuspidata",0.226667200921621,0.00827893749912139,0.368081867293654,"Rhinopristiformes","Batoidea","3",0.67232,"EN",128.62221582473,86.4752881432826,"AT"
"27","Apristurus albisoma",0.000545992188639211,2.96236577771414e-05,0.312257373475196,"Carcharhiniformes","Selachii","0",0.001748844,"LC",11.3188911529095,0.0197949748794189,"NoT"
"28","Apristurus ampliceps",1.02438850504805e-06,2.18338368655222e-05,0.000563918232502012,"Carcharhiniformes","Selachii","0",0.001748844,"LC",10.3443857286336,0.0180907169152065,"NoT"
"29","Apristurus aphyodes",0.000359952303663432,1.09386174204879e-05,0.205849096572024,"Carcharhiniformes","Selachii","0",0.001748844,"LC",12.4518856551121,0.0217764055166288,"NoT"
"30","Apristurus australis",0.000343970734748415,5.9885277759247e-06,0.19671246998654,"Carcharhiniformes","Selachii","0",0.001748844,"LC",29.9537111507311,0.0523843680236891,"NoT"
"31","Apristurus brunneus",0.000288004994212956,0.000377943117480664,0.164328732653352,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.81017581319649,0.0171564671098538,"NoT"
"32","Apristurus bucephalus",0.000350461075456544,3.57762216357293e-06,0.200427388159124,"Carcharhiniformes","Selachii","0",0.001748844,"LC",12.033382445202,0.0210445086889969,"NoT"
"33","Apristurus canutus",0.000370023804591814,3.82493246637929e-06,0.211617262693811,"Carcharhiniformes","Selachii","0",0.001748844,"LC",11.7236762727931,0.0205028809076165,"NoT"
"34","Apristurus exsanguis",0.000341759077628155,1.46282569746855e-05,0.195438754189583,"Carcharhiniformes","Selachii","0",0.001748844,"LC",27.4390933147622,0.047986693708962,"NoT"
"35","Apristurus fedorovi",0.000350461075456544,3.57762216357293e-06,0.200427388159124,"Carcharhiniformes","Selachii","0",0.001748844,"LC",8.01458796379276,0.0140162640729512,"NoT"
"36","Apristurus gibbosus",0.000358162808181313,7.59352041912786e-06,0.204828830643834,"Carcharhiniformes","Selachii","0",0.001748844,"LC",13.3618268235513,0.0233677506694068,"NoT"
"37","Apristurus herklotsi",0.000362894607943657,3.00057064089095e-06,0.2075400737419,"Carcharhiniformes","Selachii","0",0.001748844,"LC",15.0826034800865,0.0263771206005283,"NoT"
"38","Apristurus indicus",0.000391589865524048,1.38978885293325e-05,0.223943491864567,"Carcharhiniformes","Selachii","0",0.001748844,"LC",13.2098356849425,0.0231019418785976,"NoT"
"39","Apristurus investigatoris",0.000416007150361498,0.000266202508851891,0.237658678065035,"Carcharhiniformes","Selachii","0",0.001748844,"LC",12.4424231774885,0.0217598571194118,"NoT"
"40","Apristurus japonicus",0.000348872492709878,1.16048975683535e-05,0.199510678801926,"Carcharhiniformes","Selachii","0",0.001748844,"LC",10.5960929100207,0.0185309135091322,"NoT"
"41","Apristurus kampae",6.04304986110573e-06,4.1426022000212e-05,0.00341403809467256,"Carcharhiniformes","Selachii","0",0.001748844,"LC",8.31034145942595,0.0145334907992683,"NoT"
"42","Apristurus laurussonii",0.000346546821055782,0,0.198191991591237,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.34976210744896,0.0163512753630395,"NoT"
"43","Apristurus longicephalus",0.000355733909904065,6.85497904987097e-06,0.203440214313305,"Carcharhiniformes","Selachii","0",0.001748844,"LC",25.9259887111299,0.0453405098015272,"NoT"
"44","Apristurus macrorhynchus",0.00035104594693694,9.13058576363436e-06,0.200756383759657,"Carcharhiniformes","Selachii","0",0.001748844,"LC",28.6781616866272,0.0501536309966879,"NoT"
"45","Apristurus macrostomus",0.000358162808181313,7.59352041912786e-06,0.204828830643834,"Carcharhiniformes","Selachii","0",0.001748844,"LC",13.9984893819988,0.0244811741647722,"NoT"
"46","Apristurus manis",0.000342523550132534,1.98067179730427e-05,0.195870853716376,"Carcharhiniformes","Selachii","0",0.001748844,"LC",10.956967472959,0.0191620268232795,"NoT"
"47","Apristurus melanoasper",0.000470389458895095,0.000320679947675209,0.268714091486893,"Carcharhiniformes","Selachii","0",0.001748844,"LC",10.3219515560286,0.0180514830470513,"NoT"
"48","Apristurus microps",0.000468809441041484,0.000269623343351288,0.267861283973322,"Carcharhiniformes","Selachii","0",0.001748844,"LC",10.4197091258751,0.0182224457865319,"NoT"
"49","Apristurus nasutus",0.000547215192588338,2.67592507772019e-05,0.312959943120826,"Carcharhiniformes","Selachii","0",0.001748844,"LC",12.7936845179558,0.02237415840712,"NoT"
"50","Apristurus parvipinnis",0.000356520746815129,1.1841368811767e-05,0.203885304692236,"Carcharhiniformes","Selachii","0",0.001748844,"LC",11.9559520355181,0.0209090949816036,"NoT"
"51","Apristurus pinguis",0.000343655615663414,7.14657845575334e-06,0.196531062503421,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.14846041688054,0.015999230109299,"NoT"
"52","Apristurus platyrhynchus",0.000344993502747938,3.92549700407876e-06,0.197299560395263,"Carcharhiniformes","Selachii","0",0.001748844,"LC",4.96905730085286,0.00869010604625272,"NoT"
"53","Apristurus profundorum",0.000346546821055782,0,0.198191991591237,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.20055940528273,0.0160903431125723,"NoT"
"54","Apristurus riveri",0.00036749948174254,3.47437706818443e-05,0.210142376441067,"Carcharhiniformes","Selachii","0",0.001748844,"LC",12.8568968209673,0.0224847068639677,"NoT"
"55","Apristurus saldanha",0.000363968092708313,6.23647276107144e-06,0.208150885123526,"Carcharhiniformes","Selachii","0",0.001748844,"LC",13.481344263293,0.0235767680267945,"NoT"
"56","Apristurus sinensis",0.000344308537599242,1.08195030663226e-05,0.196900861625516,"Carcharhiniformes","Selachii","0",0.001748844,"LC",5.51149853275819,0.00963875114002297,"NoT"
"57","Apristurus spongiceps",0.000363968092708313,6.23647276107144e-06,0.208150885123526,"Carcharhiniformes","Selachii","0",0.001748844,"LC",13.6199222269904,0.0238191192671388,"NoT"
"58","Apristurus stenseni",0.000370023804591814,3.82493246637929e-06,0.21161726269381,"Carcharhiniformes","Selachii","0",0.001748844,"LC",11.0202177421213,0.0192726416770023,"NoT"
"59","Aptychotrema rostrata",0.000582099105866933,0.000365088541497013,0.332579523481456,"Rhinopristiformes","Batoidea","0",0.001748844,"LC",19.25907150133,0.033681111640672,"NoT"
"60","Aptychotrema timorensis",0.0239659207847739,4.05199277853509e-05,0.242512612165051,"Rhinopristiformes","Batoidea","2",0.1,"VU",18.0429775510156,1.80429775510156,"AT"
"61","Aptychotrema vincentiana",7.30991751559049e-05,4.53980824791511e-05,0.0417546945319473,"Rhinopristiformes","Batoidea","0",0.001748844,"LC",23.1821010654912,0.040541878355778,"NoT"
"62","Arhynchobatis asperrimus",3.25486098916066e-06,1.58470558457896e-05,0.00184530590962895,"Rajiformes","Batoidea","0",0.001748844,"LC",37.8039386076627,0.0661131912103793,"NoT"
"63","Asymbolus analis",7.76400818307793e-05,6.55973599960299e-06,0.0443902503907719,"Carcharhiniformes","Selachii","0",0.001748844,"LC",10.5405775120308,0.0184338257384501,"NoT"
"64","Asymbolus funebris",8.62725362831967e-05,1.25295071155111e-05,0.0493207763653832,"Carcharhiniformes","Selachii","0",0.001748844,"LC",10.6210124918844,0.0185744939703571,"NoT"
"65","Asymbolus galacticus",0.00036749948174254,3.47437706818443e-05,0.210142376441067,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.15818297211865,0.0160162333416919,"NoT"
"66","Asymbolus occiduus",7.79700961549088e-05,2.25946296265176e-06,0.0445832699460299,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.27443125520139,0.0162195334540714,"NoT"
"67","Asymbolus pallidus",8.42545012850274e-05,4.8185768439079e-05,0.0481310936308612,"Carcharhiniformes","Selachii","0",0.001748844,"LC",8.34869754841869,0.0146005696153667,"NoT"
"68","Asymbolus parvus",2.2718284179931e-05,0.000215803389170344,0.012774797150606,"Carcharhiniformes","Selachii","0",0.001748844,"LC",8.89077185740458,0.0155485730181909,"NoT"
"69","Asymbolus rubiginosus",1.15511650232254e-05,3.94178503898576e-05,0.00656564866587433,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.37344744737233,0.0163926973276524,"NoT"
"70","Asymbolus submaculatus",8.62725362831967e-05,1.25295071155111e-05,0.0493207763653833,"Carcharhiniformes","Selachii","0",0.001748844,"LC",9.01691576682894,0.0157691790373242,"NoT"
"71","Asymbolus vincenti",7.76400818307793e-05,6.55973599960299e-06,0.0443902503907719,"Carcharhiniformes","Selachii","0",0.001748844,"LC",7.91230455685915,0.0138373863504358,"NoT"
"72","Atelomycterus baliensis",8.13363352127067e-05,9.11937766231763e-06,0.0465013994594398,"Carcharhiniformes","Selachii","0",0.001748844,"LC",15.6715391783363,0.0274070772627984,"NoT"
"73","Atelomycterus fasciatus",8.55362187288071e-05,8.17142499364153e-06,0.048904067650134,"Carcharhiniformes","Selachii","0",0.001748844,"LC",6.81410757553618,0.011916811148831,"NoT"
"74","Atelomycterus macleayi",7.79700961549088e-05,2.25946296265176e-06,0.0445832699460299,"Carcharhiniformes","Selachii","0",0.001748844,"LC",14.876422142786,0.0260165416058784,"NoT"
"75","Atelomycterus marmoratus",0.000606425620061808,2.62403011458175e-05,0.0430049466866107,"Carcharhiniformes","Selachii","1",0.014096969,"NT",15.3292008987006,0.216095269863754,"NoT"
"76","Atelomycterus marnkalha",8.29871847661569e-05,2.33612150394212e-05,0.0474312001459938,"Carcharhiniformes","Selachii","0",0.001748844,"LC",6.92850802137629,0.0121168796821358,"NoT"
"77","Atlantoraja castelnaui",0.0407486484718432,1.4908190380712e-05,0.041615394516947,"Rajiformes","Batoidea","4",0.999023438,"CR",31.2028702095428,31.1723986722052,"AT"
"78","Atlantoraja cyclophora",0.028227336437522,2.73887853733876e-05,0.042554976715732,"Rajiformes","Batoidea","3",0.67232,"EN",29.4307800999999,19.7869020768319,"AT"
"79","Atlantoraja platana",0.000356449922497341,1.94199584397861e-05,0.000510846840193317,"Rajiformes","Batoidea","3",0.67232,"EN",29.4307800999999,19.7869020768319,"AT"
"80","Aulohalaelurus kanakorum",7.36413634679845e-05,6.60959661223733e-06,0.0421035352812001,"Carcharhiniformes","Selachii","0",0.001748844,"LC",20.2521282054749,0.0354178128993755,"NoT"
"81","Aulohalaelurus labiosus",7.59445063756796e-05,2.37199542786943e-05,0.0434034737142156,"Carcharhiniformes","Selachii","0",0.001748844,"LC",20.2521282054749,0.0354178128993755,"NoT"
"82","Bathyraja abyssicola",0.000338358006883273,0.000100346784227626,0.193407591632501,"Rajiformes","Batoidea","0",0.001748844,"LC",8.41511663968584,0.0147167262446147,"NoT"
"83","Bathyraja albomaculata",0.0142836310714832,0.00133251195893478,0.142509794092836,"Rajiformes","Batoidea","2",0.1,"VU",2.44526989664369,0.244526989664369,"AT"
