"","Species"
"1","Acroteriobatus annulatus"
"2","Acroteriobatus blochii"
"3","Acroteriobatus leucospilus"
"4","Acroteriobatus ocellatus"
"5","Acroteriobatus salalah"
"6","Acroteriobatus variegatus"
"7","Acroteriobatus zanzibarens"
"8","Aculeola nigra"
"9","Aetobatus flagellum"
"10","Aetobatus narinari"
"11","Aetomylaeus asperrimus"
"12","Aetomylaeus bovinus"
"13","Aetomylaeus maculatus"
"14","Aetomylaeus nichofii"
"15","Aetomylaeus vespertilio"
"16","Alopias pelagicus"
"17","Alopias superciliosus"
"18","Alopias vulpinus"
"19","Amblyraja doellojuradoi"
"20","Amblyraja hyperborea"
"21","Amblyraja radiata"
"22","Anacanthobatis americana"
"23","Anacanthobatis folirostris"
"24","Anacanthobatis longirostris"
"25","Anacanthobatis marmorata"
"26","Anoxypristis cuspidata"
"27","Apristurus albisoma"
"28","Apristurus ampliceps"
"29","Apristurus aphyodes"
"30","Apristurus australis"
"31","Apristurus brunneus"
"32","Apristurus bucephalus"
"33","Apristurus canutus"
"34","Apristurus exsanguis"
"35","Apristurus fedorovi"
"36","Apristurus gibbosus"
"37","Apristurus herklotsi"
"38","Apristurus indicus"
"39","Apristurus investigatoris"
"40","Apristurus japonicus"
"41","Apristurus kampae"
"42","Apristurus laurussonii"
"43","Apristurus longicephalus"
"44","Apristurus macrorhynchus"
"45","Apristurus macrostomus"
"46","Apristurus manis"
"47","Apristurus melanoasper"
"48","Apristurus microps"
"49","Apristurus nasutus"
"50","Apristurus parvipinnis"
"51","Apristurus pinguis"
"52","Apristurus platyrhynchus"
"53","Apristurus profundorum"
"54","Apristurus riveri"
"55","Apristurus saldanha"
"56","Apristurus sinensis"
"57","Apristurus spongiceps"
"58","Apristurus stenseni"
"59","Aptychotrema rostrata"
"60","Aptychotrema timorensis"
"61","Aptychotrema vincentiana"
"62","Arhynchobatis asperrimus"
"63","Asymbolus analis"
"64","Asymbolus funebris"
"65","Asymbolus galacticus"
"66","Asymbolus occiduus"
"67","Asymbolus pallidus"
"68","Asymbolus parvus"
"69","Asymbolus rubiginosus"
"70","Asymbolus submaculatus"
"71","Asymbolus vincenti"
"72","Atelomycterus baliensis"
"73","Atelomycterus fasciatus"
"74","Atelomycterus macleayi"
"75","Atelomycterus marmoratus"
"76","Atelomycterus marnkalha"
"77","Atlantoraja castelnaui"
"78","Atlantoraja cyclophora"
"79","Atlantoraja platana"
"80","Aulohalaelurus kanakorum"
"81","Aulohalaelurus labiosus"
"82","Bathyraja abyssicola"
"83","Bathyraja albomaculata"
"84","Bathyraja aleutica"
"85","Bathyraja andriashevi"
"86","Bathyraja bergi"
"87","Bathyraja brachyurops"
"88","Bathyraja cousseauae"
"89","Bathyraja diplotaenia"
"90","Bathyraja eatonii"
"91","Bathyraja fedorovi"
"92","Bathyraja griseocauda"
"93","Bathyraja hesperafricana"
"94","Bathyraja interrupta"
"95","Bathyraja irrasa"
"96","Bathyraja ishiharai"
"97","Bathyraja isotrachys"
"98","Bathyraja leucomelanos"
"99","Bathyraja lindbergi"
"100","Bathyraja maccaini"
"101","Bathyraja macloviana"
"102","Bathyraja maculata"
"103","Bathyraja magellanica"
"104","Bathyraja mariposa"
"105","Bathyraja matsubarai"
"106","Bathyraja meridionalis"
"107","Bathyraja minispinosa"
"108","Bathyraja multispinis"
"109","Bathyraja murrayi"
"110","Bathyraja pallida"
"111","Bathyraja panthera"
"112","Bathyraja papilionifera"
"113","Bathyraja parmifera"
"114","Bathyraja peruana"
"115","Bathyraja richardsoni"
"116","Bathyraja scaphiops"
"117","Bathyraja schroederi"
"118","Bathyraja shuntovi"
"119","Bathyraja smirnovi"
"120","Bathyraja smithii"
"121","Bathyraja spinicauda"
"122","Bathyraja spinosissima"
"123","Bathyraja taranetzi"
"124","Bathyraja trachouros"
"125","Bathyraja trachura"
"126","Bathyraja tunae"
"127","Bathyraja tzinovskii"
"128","Bathyraja violacea"
